"question","answer"
"Israel","Jerusalem"
"Saint Helena","Jamestown"
"Indonesia","Jakarta"
"Pakistan","Islamabad"
"Solomon Islands","Honiara"
"Finland","Helsinki"
"Cuba","Havana"
"Zimbabwe","Harare"
"Vietnam","Hanoi"
"Bermuda","Hamilton"
"Guam","Hagatna (Agana)"
"Guatemala","Guatemala"
"Gibraltar","Gibraltar"
"Guyana","Georgetown"
"Cayman Islands","George Town"
"Botswana","Gaborone"
"Tuvalu","Funafuti"
"Sierra Leone","Freetown"
"Martinique","Fort-de-France"
"Tajikistan","Dushanbe"
"Ireland","Dublin"
"Isle of Man","Douglas"
"Djibouti","Djibouti"
"Bangladesh","Dhaka"
"Tanzania","Dar es Salaam"
"Syria","Damascus"
"Senegal","Dakar"
"Denmark","Copenhagen"
"Guinea","Conakry"
"Sri Lanka","Colombo"
"Turks and Caicos Islands","Cockburn Town (on Grand Turk)"
"Moldova","Chisinau"
"Virgin Islands","Charlotte Amalie"
"French Guiana","Cayenne"
"Saint Lucia","Castries"
"Venezuela","Caracas"
"Australia","Canberra"
"Egypt","Cairo"
"Burundi","Bujumbura"
"Argentina","Buenos Aires"
"Hungary","Budapest"
"Romania","Bucharest"
"Belgium","Brussels"
"Barbados","Bridgetown"
"Republic of the Congo","Brazzaville"
"Slovakia","Bratislava"
"Brazil","Brasilia"
"Columbia","Bogota"
"Guinea-Bissau","Bissau"
"Kyrgyzstan","Bishkek"
"Switzerland","Bern"
"Germany","Berlin"
"Belize","Belmopan"
"Yugoslavia","Belgrade"
"Lebanon","Beirut"
"China","Beijing"
"Saint Kitts and Nevis","Basseterre"
"Guadeloupe","Basse-Terre"
"The Gambia","Banjul"
"Central African Republic","Bangui"
"Thailand","Bangkok"
"Brunei","Bandar Seri Begawan"
"Mali","Bamako"
"Azerbaijan","Baku (Baki)"
"Iraq","Baghdad"
"Cook Islands","Avarua"
"Greece","Athens"
"Paraguay","Asuncion"
"Kazakhstan","Astana"
"Eritrea","Asmara (formerly Asmera)"
"Turkmenistan","Ashgabat"
"Samoa","Apia"
"Madagascar","Antananarivo"
"Turkey","Ankara"
"Andorra","Andorra la Vella"
"Netherlands","Amsterdam; The Hague is the seat of government"
"Jordan","Amman"
"Niue","Alofi"
"Algeria","Algiers"
"Pitcairn Islands","Adamstown"
"Ghana","Accra"
"Nigeria","Abuja"
"United Arab Emirates","Abu Dhabi"
